2025-11-23 16:14:19,459 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2025-11-23 16:14:19,460 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2025-11-23 16:14:19,462 | INFO | sqlalchemy.engine.Engine | select current_schema()
2025-11-23 16:14:19,462 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2025-11-23 16:14:19,464 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2025-11-23 16:14:19,464 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2025-11-23 16:14:19,466 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2025-11-23 16:14:19,470 | INFO | sqlalchemy.engine.Engine | SELECT questions.text, questions.id, questions.created_at 
FROM questions
2025-11-23 16:14:19,470 | INFO | sqlalchemy.engine.Engine | [generated in 0.00025s] ()
2025-11-23 16:14:19,474 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2025-11-23 16:36:33,155 | INFO | app.api.question | Создание вопроса с текстом: 
2025-11-23 16:36:33,209 | INFO | app.api.question | Вопрос успешно создан с id=18
2025-11-23 16:38:37,617 | INFO | app.api.question | Создание вопроса с текстом: 123
2025-11-23 16:38:37,670 | INFO | app.api.question | Вопрос успешно создан с id=19
